Competition,Matchday,Date,Home,Away,Position,Attendance
Serie A,21,22 January 2018,Juventus,Genoa,2,"29,412"
Serie A,22,27 January 2018,Chievo,Juventus,2,"27,000"
Serie A,23,4 February 2018,Juventus,Sassuolo,2,"40,400"
Serie A,24,9 February 2018,Fiorentina,Juventus,2,"32,563"
Serie A,25,18 February 2018,Torino,Juventus,2,"26,105"
Serie A,26,3 March 2018,Lazio,Juventus,2,"37,704"
Serie A,27,11 March 2018,Juventus,Udinese,2,"40,300"
Serie A,28,14 March 2018,Juventus,Atalanta,1,"36,753"
Serie A,29,17 March 2018,SPAL,Juventus,1,"13,135"
Serie A,30,31 March 2018,Juventus,Milan,1,"41,156"
Serie A,31,7 April 2018,Benevento,Juventus,1,"16,867"
Serie A,32,15 April 2018,Juventus,Sampdoria,1,"40,121"
Serie A,33,18 April 2018,Crotone,Juventus,1,"15,021"
Serie A,34,22 April 2018,Juventus,Napoli,1,"40,114"
Serie A,35,28 April 2018,Internazionale,Juventus,1,"78,328"
Serie A,36,5 May 2018,Juventus,Bologna,1,"40,714"
Serie A,37,13 May 2018,Roma,Juventus,1,"53,091"
Serie A,38,19 May 2018,Juventus,Hellas Verona,1,"40,380"
Coppa Italia,1,20 December 2017,Juventus,Genoa,,"39,969"
Coppa Italia,2,3 January 2018,Juventus,Torino,,"37,763"
Coppa Italia,3,30 January 2018,Atalanta,Juventus,,"16,406"
Coppa Italia,4,28 February 2018,Juventus,Atalanta,,"38,417"
Coppa Italia,5,9 May 2018,Juventus,Milan,,"66,400"
UEFA Champions League,1,12 September 2017,Barcelona,Juventus,,"78,656"
UEFA Champions League,2,27 September 2017,Juventus,Olympiacos,,"33,460"
UEFA Champions League,3,18 October 2017,Juventus,Sporting CP,,"36,288"
UEFA Champions League,4,31 October 2017,Sporting CP,Juventus,,"48,442"
UEFA Champions League,5,22 November 2017,Juventus,Barcelona,,"40,876"
UEFA Champions League,6,5 December 2017,Olympiacos,Juventus,,"29,567"
UEFA Champions League,7,13 February 2018,Juventus,Tottenham Hotspur,,"41,232"
UEFA Champions League,8,7 March 2018,Tottenham Hotspur,Juventus,,"84,010"
UEFA Champions League,9,3 April 2018,Juventus,Real Madrid,,"40,849"
UEFA Champions League,10,11 April 2018,Real Madrid,Juventus,,"75,796"
Serie A,1,19 August 2017,Hellas Verona,Napoli,4,"15,215"
Serie A,2,27 August 2017,Napoli,Atalanta,3,"35,102"
Serie A,3,10 September 2017,Bologna,Napoli,2,"22,398"
Serie A,4,17 September 2017,Napoli,Benevento,1,"49,137"
Serie A,5,20 September 2017,Lazio,Napoli,1,"28,000"
Serie A,6,23 September 2017,SPAL,Napoli,1,"12,650"
Serie A,7,1 October 2017,Napoli,Cagliari,1,"42,813"
Serie A,8,14 October 2017,Roma,Napoli,1,"37,914"
Serie A,9,21 October 2017,Napoli,Internazionale,1,"49,762"
Serie A,10,25 October 2017,Genoa,Napoli,1,"23,367"
Serie A,11,29 October 2017,Napoli,Sassuolo,1,"53,609"
Serie A,12,5 November 2017,Chievo,Napoli,1,"12,000"
Serie A,13,18 November 2017,Napoli,Milan,1,"36,557"
Serie A,14,26 November 2017,Udinese,Napoli,1,"19,743"
Serie A,15,1 December 2017,Napoli,Juventus,2,"55,567"
Serie A,16,10 December 2017,Napoli,Fiorentina,2,"44,417"
Serie A,17,16 December 2017,Torino,Napoli,1,"18,449"
Serie A,18,23 December 2017,Napoli,Sampdoria,1,"48,434"
Serie A,19,29 December 2017,Crotone,Napoli,1,"11,063"
Serie A,20,6 January 2018,Napoli,Hellas Verona,1,"39,580"
Serie A,21,21 January 2018,Atalanta,Napoli,1,"19,098"
Serie A,22,28 January 2018,Napoli,Bologna,1,"37,227"
Serie A,23,4 February 2018,Benevento,Napoli,1,"15,026"
Serie A,24,10 February 2018,Napoli,Lazio,1,"32,940"
Serie A,25,18 February 2018,Napoli,SPAL,1,"34,270"
Serie A,26,26 February 2018,Cagliari,Napoli,1,"13,757"
Serie A,27,3 March 2018,Napoli,Roma,1,"39,310"
Serie A,28,11 March 2018,Internazionale,Napoli,2,"59,380"
Serie A,29,18 March 2018,Napoli,Genoa,2,"30,059"
Serie A,30,31 March 2018,Sassuolo,Napoli,2,"16,904"
Serie A,31,8 April 2018,Napoli,Chievo,2,"46,601"
Serie A,32,15 April 2018,Milan,Napoli,2,"65,786"
Serie A,33,18 April 2018,Napoli,Udinese,2,"44,118"
Serie A,34,22 April 2018,Juventus,Napoli,2,"40,114"
Serie A,35,29 April 2018,Fiorentina,Napoli,2,"26,206"
Serie A,36,6 May 2018,Napoli,Torino,2,"47,057"
Serie A,37,13 May 2018,Sampdoria,Napoli,2,"19,250"
Serie A,38,20 May 2018,Napoli,Crotone,2,"51,382"
Coppa Italia,1,19 December 2017,Napoli,Udinese,,"15,096"
Coppa Italia,2,2 January 2018,Napoli,Atalanta,,"27,174"
UEFA Champions League,1,16 August 2017,Napoli,Nice,,"49,324"
UEFA Champions League,2,22 August 2017,Nice,Napoli,,"32,103"
UEFA Champions League,3,13 September 2017,Shakhtar Donetsk,Napoli,,"32,679"
UEFA Champions League,4,26 September 2017,Napoli,Feyenoord,,"22,577"
UEFA Champions League,5,17 October 2017,Manchester City,Napoli,,"48,520"
UEFA Champions League,6,1 November 2017,Napoli,Manchester City,,"44,483"
UEFA Champions League,7,21 November 2017,Napoli,Shakhtar Donetsk,,"10,573"
UEFA Champions League,8,6 December 2017,Feyenoord,Napoli,,"36,500"
UEFA Europa League,1,15 February 2018,Napoli,RB Leipzig,,"14,554"
UEFA Europa League,2,22 February 2018,RB Leipzig,Napoli,,"36,163"
Serie A,1,20 August 2017,Atalanta,Roma,7,"19,108"
Serie A,2,26 August 2017,Roma,Internazionale,1,"49,388"
Serie A,3,16 September 2017,Roma,Hellas Verona,1,"29,045"
Serie A,4,20 September 2017,Benevento,Roma,9,"14,839"
Serie A,5,23 September 2017,Roma,Udinese,7,"32,457"
Serie A,6,1 October 2017,Milan,Roma,5,"61,698"
Serie A,7,14 October 2017,Roma,Napoli,5,"37,914"
Serie A,8,22 October 2017,Torino,Roma,5,"19,646"
Serie A,9,25 October 2017,Roma,Crotone,5,"31,605"
Serie A,10,28 October 2017,Roma,Bologna,5,"35,202"
Serie A,11,5 November 2017,Fiorentina,Roma,5,"25,026"
Serie A,12,18 November 2017,Roma,Lazio,5,"55,775"
Serie A,13,26 November 2017,Genoa,Roma,4,"20,949"
Serie A,14,1 December 2017,Roma,SPAL,4,"35,609"
Serie A,15,10 December 2017,Chievo,Roma,4,"15,000"
Serie A,16,16 December 2017,Roma,Cagliari,4,"33,113"
Serie A,17,23 December 2017,Juventus,Roma,4,"41,100"
Serie A,18,30 December 2017,Roma,Sassuolo,4,"37,157"
Serie A,19,6 January 2018,Roma,Atalanta,4,"32,863"
Serie A,20,21 January 2018,Internazionale,Roma,5,"57,066"
Serie A,21,24 January 2017,Sampdoria,Roma,5,"19,302"
Serie A,22,28 January 2018,Roma,Sampdoria,5,"29,468"
Serie A,23,4 February 2018,Hellas Verona,Roma,5,"17,495"
Serie A,24,11 February 2018,Roma,Benevento,4,"31,956"
Serie A,25,17 February 2018,Udinese,Roma,3,"18,753"
Serie A,26,25 February 2018,Roma,Milan,5,"42,537"
Serie A,27,3 March 2018,Napoli,Roma,3,"39,310"
Serie A,28,9 March 2018,Roma,Torino,3,"33,847"
Serie A,29,18 March 2018,Crotone,Roma,3,"11,691"
Serie A,30,31 March 2018,Bologna,Roma,3,"20,778"
Serie A,31,7 April 2018,Roma,Fiorentina,4,"41,728"
Serie A,32,15 April 2018,Lazio,Roma,3,"55,000"
Serie A,33,18 April 2018,Roma,Genoa,3,"30,095"
Serie A,34,21 April 2018,SPAL,Roma,3,"12,355"
Serie A,35,28 April 2018,Roma,Chievo,3,"38,694"
Serie A,36,6 May 2018,Cagliari,Roma,3,"15,157"
Serie A,37,13 May 2018,Roma,Juventus,3,"53,091"
Serie A,38,20 May 2018,Sassuolo,Roma,3,"13,129"
Coppa Italia,1,20 December 2017,Roma,Torino,,"27,206"
UEFA Champions League,1,12 September 2017,Roma,Atletico Madrid,,"36,064"
UEFA Champions League,2,27 September 2017,Qarabag,Roma,,"67,200"
UEFA Champions League,3,18 October 2017,Chelsea,Roma,,"41,105"
UEFA Champions League,4,31 October 2017,Roma,Chelsea,,"55,036"
UEFA Champions League,5,22 November 2017,Atletico Madrid,Roma,,"56,253"
UEFA Champions League,6,5 December 2017,Roma,Qarabag,,"34,258"
UEFA Champions League,7,21 February 2018,Shakhtar Donetsk,Roma,,"35,124"
UEFA Champions League,8,13 March 2018,Roma,Shakhtar Donetsk,,"47,693"
UEFA Champions League,9,4 April 2018,Barcelona,Roma,,"90,106"
UEFA Champions League,10,10 April 2018,Roma,Barcelona,,"56,580"
UEFA Champions League,11,24 April 2018,Liverpool,Roma,,"51,236"
UEFA Champions League,12,2 May 2018,Roma,Liverpool,,"61,889"
Ligue 1,1,5 August 2017,Paris Saint-Germain,Amiens,5,"46,989"
Ligue 1,2,13 August 2017,Guingamp,Paris Saint-Germain,2,"18,378"
Ligue 1,3,20 August 2017,Paris Saint-Germain,Toulouse,1,"47,221"
Ligue 1,4,25 August 2017,Paris Saint-Germain,Saint-Etienne,1,"46,957"
Ligue 1,5,8 September 2017,Metz,Paris Saint-Germain,1,"25,015"
Ligue 1,6,17 September 2017,Paris Saint-Germain,Lyon,1,"47,191"
Ligue 1,7,23 September 2017,Montpellier,Paris Saint-Germain,1,"20,975"
Ligue 1,8,30 September 2017,Paris Saint-Germain,Bordeaux,1,"47,537"
Ligue 1,9,14 October 2017,Dijon,Paris Saint-Germain,1,"15,160"
Ligue 1,10,22 October 2017,Marseille,Paris Saint-Germain,1,"60,410"
Ligue 1,11,27 October 2017,Paris Saint-Germain,Nice,1,"47,224"
Ligue 1,12,4 November 2017,Angers,Paris Saint-Germain,1,"12,381"
Ligue 1,13,18 November 2017,Paris Saint-Germain,Nantes,1,"47,680"
Ligue 1,14,26 November 2017,Monaco,Paris Saint-Germain,1,"16,588"
Ligue 1,15,29 November 2017,Paris Saint-Germain,Troyes,1,"40,920"
Ligue 1,16,2 December 2017,Strasbourg,Paris Saint-Germain,1,"25,327"
Ligue 1,17,9 December 2017,Paris Saint-Germain,Lille,1,"47,176"
Ligue 1,18,16 December 2017,Rennes,Paris Saint-Germain,1,"29,194"
Ligue 1,19,20 December 2017,Paris Saint-Germain,Caen,1,"47,490"
Ligue 1,20,14 January 2018,Nantes,Paris Saint-Germain,1,"34,486"
Ligue 1,21,17 January 2018,Paris Saint-Germain,Dijon,1,"47,483"
Ligue 1,22,21 January 2018,Lyon,Paris Saint-Germain,1,"57,582"
Ligue 1,23,27 January 2018,Paris Saint-Germain,Montpellier,1,"47,379"
Ligue 1,24,3 February 2018,Lille,Paris Saint-Germain,1,"49,082"
Ligue 1,25,10 February 2018,Toulouse,Paris Saint-Germain,1,"31,909"
Ligue 1,26,17 February 2018,Paris Saint-Germain,Strasbourg,1,"47,059"
Ligue 1,27,25 February 2018,Paris Saint-Germain,Marseille,1,"47,490"
Ligue 1,28,3 March 2018,Troyes,Paris Saint-Germain,1,"20,006"
Ligue 1,29,10 March 2018,Paris Saint-Germain,Metz,1,"47,227"
Ligue 1,30,14 March 2018,Paris Saint-Germain,Angers,1,"46,757"
Ligue 1,31,18 March 2018,Nice,Paris Saint-Germain,1,"33,478"
Ligue 1,32,6 April 2018,Saint-Etienne,Paris Saint-Germain,1,"37,602"
Ligue 1,33,15 April 2018,Paris Saint-Germain,Monaco,1,"46,869"
Ligue 1,34,22 April 2018,Bordeaux,Paris Saint-Germain,1,"41,290"
Ligue 1,35,29 April 2018,Paris Saint-Germain,Guingamp,1,"47,759"
Ligue 1,36,4 May 2018,Amiens,Paris Saint-Germain,1,"11,676"
Ligue 1,37,12 May 2018,Paris Saint-Germain,Rennes,1,"47,352"
Ligue 1,38,19 May 2018,Caen,Paris Saint-Germain,1,"19,999"
Coupe de France,1,7 January 2018,Rennes,Paris Saint-Germain,,"19,777"
Coupe de France,2,24 January 2018,Paris Saint-Germain,Guingamp,,"47,322"
Coupe de France,3,6 February 2018,Sochaux,Paris Saint-Germain,,"20,000"
Coupe de France,4,28 February 2018,Paris Saint-Germain,Marseille,,"45,000"
Coupe de France,5,18 April 2018,Caen,Paris Saint-Germain,,"20,350"
Coupe de France,6,8 May 2018,Les Herbiers VF,Paris Saint-Germain,,"73,772"
Coupe de la Ligue,1,13 December 2017,Strasbourg,Paris Saint-Germain,,"25,349"
Coupe de la Ligue,2,10 January 2018,Amiens,Paris Saint-Germain,,"9,222"
Coupe de la Ligue,3,30 January 2018,Rennes,Paris Saint-Germain,,"28,620"
Coupe de la Ligue,4,31 March 2018,Paris Saint-Germain,Monaco,,"41,248"
Trophee des Champions,1,29 July 2017,Monaco,Paris Saint-Germain,,"43,761"
UEFA Champions League,1,12 September 2017,Celtic,Paris Saint-Germain,,"57,562"
UEFA Champions League,2,27 September 2017,Paris Saint-Germain,Bayern Munich,,"46,252"
UEFA Champions League,3,18 October 2017,Anderlecht,Paris Saint-Germain,,"19,108"
UEFA Champions League,4,31 October 2017,Paris Saint-Germain,Anderlecht,,"46,403"
UEFA Champions League,5,22 November 2017,Paris Saint-Germain,Celtic,,"46,288"
UEFA Champions League,6,5 December 2017,Bayern Munich,Paris Saint-Germain,,"70,000"
UEFA Champions League,7,14 February 2018,Real Madrid,Paris Saint-Germain,,"78,158"
UEFA Champions League,8,6 March 2018,Paris Saint-Germain,Real Madrid,,"46,585"
Trophee des Champions,1,29 July 2017,AS Monaco,Paris Saint-Germain,,"43,761"
Ligue 1,1,4 August 2017,AS Monaco,Toulouse,6,"13,572"
Ligue 1,2,13 August 2017,Dijon,AS Monaco,3,"14,295"
Ligue 1,3,18 August 2017,Metz,AS Monaco,2,"18,136"
Ligue 1,4,27 August 2017,AS Monaco,Marseille,2,"16,353"
Ligue 1,5,9 September 2017,Nice,AS Monaco,2,"28,995"
Ligue 1,6,16 September 2017,AS Monaco,Strasbourg,2,"8,310"
Ligue 1,7,22 September 2017,Lille,AS Monaco,2,"34,146"
Ligue 1,8,29 September 2017,AS Monaco,Montpellier,2,"7,053"
Ligue 1,9,13 October 2017,Lyon,AS Monaco,2,"43,295"
Ligue 1,10,21 October 2017,AS Monaco,Caen,2,"8,040"
Ligue 1,11,28 October 2017,Bordeaux,AS Monaco,2,"28,831"
Ligue 1,12,4 November 2017,AS Monaco,Guingamp,2,"7,066"
Ligue 1,13,17 November 2017,Amiens,AS Monaco,2,"9,198"
Ligue 1,14,26 November 2017,AS Monaco,Paris Saint-Germain,3,"16,588"
Ligue 1,15,29 November 2017,Nantes,AS Monaco,4,"24,800"
Ligue 1,16,2 December 2017,AS Monaco,Angers,3,"6,545"
Ligue 1,17,9 December 2017,AS Monaco,Troyes,3,"8,935"
Ligue 1,18,15 December 2017,Saint-Etienne,AS Monaco,2,"23,107"
Ligue 1,19,20 December 2017,AS Monaco,Rennes,2,"7,542"
Ligue 1,20,13 January 2018,Montpellier,AS Monaco,2,"14,643"
Ligue 1,21,16 January 2018,AS Monaco,Nice,4,"10,533"
Ligue 1,22,21 January 2018,AS Monaco,Metz,4,"6,333"
Ligue 1,23,28 January 2018,Marseille,AS Monaco,4,"51,279"
Ligue 1,24,4 February 2018,AS Monaco,Lyon,3,"10,301"
Ligue 1,25,10 February 2018,Angers,AS Monaco,2,"12,759"
Ligue 1,26,16 February 2018,AS Monaco,Dijon,2,"6,418"
Ligue 1,27,24 February 2018,Toulouse,AS Monaco,2,"13,184"
Ligue 1,28,2 March 2018,AS Monaco,Bordeaux,2,"7,419"
Ligue 1,29,9 March 2018,Strasbourg,AS Monaco,2,"23,814"
Ligue 1,30,16 March 2018,AS Monaco,Lille,2,"7,147"
Ligue 1,31,4 April 2018,Rennes,AS Monaco,2,"17,448"
Ligue 1,32,7 April 2018,AS Monaco,Nantes,2,"8,557"
Ligue 1,33,15 April 2018,Paris Saint-Germain,AS Monaco,2,"46,869"
Ligue 1,34,21 April 2018,Guingamp,AS Monaco,2,"14,968"
Ligue 1,35,28 April 2018,AS Monaco,Amiens,3,"8,164"
Ligue 1,36,6 May 2018,Caen,AS Monaco,3,"17,468"
Ligue 1,37,12 May 2018,AS Monaco,Saint-Etienne,2,"10,742"
Ligue 1,38,19 May 2018,Troyes,AS Monaco,2,"14,585"
Coupe de France,1,6 January 2018,Yzeure,AS Monaco,,"3,500"
Coupe de France,2,24 January 2018,AS Monaco,Lyon,,"7,143"
Coupe de la Ligue,1,12 December 2017,AS Monaco,Caen,,"4,834"
Coupe de la Ligue,2,9 January 2018,Nice,AS Monaco,,"19,686"
Coupe de la Ligue,3,31 January 2018,AS Monaco,Montpellier,,"6,024"
Coupe de la Ligue,4,31 March 2018,Paris Saint-Germain,AS Monaco,,"41,248"
UEFA Champions League,1,13 September 2017,RB Leipzig,AS Monaco,,"40,068"
UEFA Champions League,2,26 September 2017,AS Monaco,Porto,,"11,703"
UEFA Champions League,3,17 October 2017,AS Monaco,Besiktas,,"7,403"
UEFA Champions League,4,1 November 2017,Besiktas,AS Monaco,,"39,346"
UEFA Champions League,5,21 November 2017,AS Monaco,RB Leipzig,,"9,029"
UEFA Champions League,6,6 December 2017,Porto,AS Monaco,,"42,509"
Ligue 1,1,5 August 2017,Lyon,Strasbourg,1,"39,177"
Ligue 1,2,11 August 2017,Rennes,Lyon,1,"24,944"
Ligue 1,3,19 August 2017,Lyon,Bordeaux,4,"42,073"
Ligue 1,4,26 August 2017,Nantes,Lyon,4,"30,718"
Ligue 1,5,9 September 2017,Lyon,Guingamp,3,"36,697"
Ligue 1,6,17 September 2017,Paris Saint-Germain,Lyon,5,"47,191"
Ligue 1,7,23 September 2017,Lyon,Dijon,7,"33,600"
Ligue 1,8,1 October 2017,Angers,Lyon,8,"11,432"
Ligue 1,9,13 October 2017,Lyon,Monaco,6,"43,295"
Ligue 1,10,22 October 2017,Troyes,Lyon,4,"14,722"
Ligue 1,11,29 October 2017,Lyon,Metz,3,"53,921"
Ligue 1,12,5 November 2017,Saint-Etienne,Lyon,3,"38,993"
Ligue 1,13,19 November 2017,Lyon,Montpellier,3,"47,651"
Ligue 1,14,26 November 2017,Nice,Lyon,2,"27,542"
Ligue 1,15,29 November 2017,Lyon,Lille,3,"31,679"
Ligue 1,16,3 December 2017,Caen,Lyon,2,"19,455"
Ligue 1,17,10 December 2017,Amiens,Lyon,2,"9,130"
Ligue 1,18,17 December 2017,Lyon,Marseille,3,"57,206"
Ligue 1,19,20 December 2017,Toulouse,Lyon,3,"15,853"
Ligue 1,20,13 January 2018,Lyon,Angers,3,"36,691"
Ligue 1,21,17 January 2018,Guingamp,Lyon,2,"14,638"
Ligue 1,22,21 January 2018,Lyon,Paris Saint-Germain,2,"57,582"
Ligue 1,23,28 January 2018,Bordeaux,Lyon,2,"29,310"
Ligue 1,24,4 February 2018,Monaco,Lyon,4,"10,301"
Ligue 1,25,10 February 2018,Lyon,Rennes,4,"39,189"
Ligue 1,26,17 February 2018,Lille,Lyon,4,"39,523"
Ligue 1,27,25 February 2018,Lyon,Saint-Etienne,4,"58,069"
Ligue 1,28,4 March 2018,Montpellier,Lyon,4,"15,160"
Ligue 1,29,10 March 2018,Lyon,Caen,4,"39,530"
Ligue 1,30,18 March 2018,Marseille,Lyon,4,"60,009"
Ligue 1,31,1 April 2018,Lyon,Toulouse,4,"48,548"
Ligue 1,32,7 April 2018,Metz,Lyon,3,"15,540"
Ligue 1,33,14 April 2018,Lyon,Amiens,3,"47,513"
Ligue 1,34,20 April 2018,Dijon,Lyon,3,"15,102"
Ligue 1,35,28 April 2018,Lyon,Nantes,2,"50,443"
Ligue 1,36,6 May 2018,Lyon,Troyes,2,"54,274"
Ligue 1,37,12 May 2018,Strasbourg,Lyon,3,"25,503"
Ligue 1,38,19 May 2018,Lyon,Nice,3,"56,953"
Coupe de France,1,6 January 2018,Nancy,Lyon,,"14,201"
Coupe de France,2,24 January 2018,Monaco,Lyon,,"7,143"
Coupe de France,3,7 February 2018,Montpellier,Lyon,,"7,000"
Coupe de France,4,1 March 2018,Caen,Lyon,,"17,000"
Coupe de la Ligue,1,13 December 2017,Montpellier,Lyon,,"7,447"
UEFA Europa League,1,14 September 2017,Apollon Limassol,Lyon,,"5,134"
UEFA Europa League,2,28 September 2017,Lyon,Atalanta,,"27,715"
UEFA Europa League,3,19 October 2017,Everton,Lyon,,"27,159"
UEFA Europa League,4,2 November 2017,Lyon,Everton,,"48,103"
UEFA Europa League,5,23 November 2017,Lyon,Apollon Limassol,,"26,972"
UEFA Europa League,6,7 December 2017,Atalanta,Lyon,,"14,500"
UEFA Europa League,7,15 February 2018,Lyon,Villareal,,"46,846"
UEFA Europa League,8,22 February 2018,Villarreal,Lyon,,"17,028"
UEFA Europa League,9,8 March 2018,CSKA Moscow,Lyon,,"13,990"
UEFA Europa League,10,15 March 2018,Lyon,CSKA Moscow,,"38,622"
